company_name,cin,financial_year,cohort,sector,missing_count,missing_columns
Tata Steel Limited,L27100WB1907PLC001473,2016,non_defaulter,Steel & Metals,10,current_assets|current_liabilities|cash_and_equivalents|inventory|receivables|capex|opinion_type|auditor_name|contingent_liabilities_amount|promoter_holding_pct
Tata Steel Limited,L27100WB1907PLC001473,2015,non_defaulter,Steel & Metals,10,current_assets|current_liabilities|cash_and_equivalents|inventory|receivables|capex|opinion_type|auditor_name|contingent_liabilities_amount|promoter_holding_pct
Tata Steel Limited,L27100WB1907PLC001473,2014,non_defaulter,Steel & Metals,10,current_assets|current_liabilities|cash_and_equivalents|inventory|receivables|capex|opinion_type|auditor_name|contingent_liabilities_amount|promoter_holding_pct
Thermax Limited,L29299PN1980PLC022787,2017,non_defaulter,Engineering / Manufacturing,10,current_assets|current_liabilities|cash_and_equivalents|inventory|receivables|capex|opinion_type|auditor_name|contingent_liabilities_amount|promoter_holding_pct
Thermax Limited,L29299PN1980PLC022787,2016,non_defaulter,Engineering / Manufacturing,10,current_assets|current_liabilities|cash_and_equivalents|inventory|receivables|capex|opinion_type|auditor_name|contingent_liabilities_amount|promoter_holding_pct
Thermax Limited,L29299PN1980PLC022787,2015,non_defaulter,Engineering / Manufacturing,10,current_assets|current_liabilities|cash_and_equivalents|inventory|receivables|capex|opinion_type|auditor_name|contingent_liabilities_amount|promoter_holding_pct
Timken India Limited,L29130KA1996PLC048230,2017,non_defaulter,Engineering / Manufacturing,10,current_assets|current_liabilities|cash_and_equivalents|inventory|receivables|capex|opinion_type|auditor_name|contingent_liabilities_amount|promoter_holding_pct
Timken India Limited,L29130KA1996PLC048230,2016,non_defaulter,Engineering / Manufacturing,10,current_assets|current_liabilities|cash_and_equivalents|inventory|receivables|capex|opinion_type|auditor_name|contingent_liabilities_amount|promoter_holding_pct
Timken India Limited,L29130KA1996PLC048230,2015,non_defaulter,Engineering / Manufacturing,10,current_assets|current_liabilities|cash_and_equivalents|inventory|receivables|capex|opinion_type|auditor_name|contingent_liabilities_amount|promoter_holding_pct
Titan Company Limited,L74999TZ1984PLC001456,2017,non_defaulter,Gems & Jewellery,10,current_assets|current_liabilities|cash_and_equivalents|inventory|receivables|capex|opinion_type|auditor_name|contingent_liabilities_amount|promoter_holding_pct
Titan Company Limited,L74999TZ1984PLC001456,2016,non_defaulter,Gems & Jewellery,10,current_assets|current_liabilities|cash_and_equivalents|inventory|receivables|capex|opinion_type|auditor_name|contingent_liabilities_amount|promoter_holding_pct
